,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费 
14005,14006,018422,汇添富稳裕30天滚动持有债券A,2025-07-18,1.0737,1.0737,0.01,0.04,0.18,0.45,0.95,2.17,,,0.91,7.37,2.1113,0.03%
14006,14007,021156,华安中债1-5年国开行债券ETF联接E,2025-07-18,1.1074,1.1544,0.02,0.01,0.03,0.35,0.44,2.17,,,0.24,3.37,2.0269,0.00%
14007,14008,000597,中海积极收益混合,2025-07-18,1.371,1.63,-0.07,0.51,1.11,1.78,-0.29,2.16,-1.22,-3.18,-0.58,71.31,2.2371,0.08%
14008,14009,004764,中科沃土沃嘉混合C,2025-07-18,1.2628,1.2628,0.0,1.41,2.04,1.15,1.06,2.16,1.81,4.3,1.02,26.28,2.0692,0.00%
14009,14010,006915,南方亨元债券A,2025-07-18,1.0389,1.2161,0.01,0.04,0.02,0.37,0.25,2.16,5.67,8.69,0.05,23.13,2.059,0.08%
14010,14011,006804,富国短债债券型A,2025-07-18,1.1721,1.2039,0.01,0.05,0.21,0.61,1.03,2.16,5.01,7.59,0.98,20.41,2.1241,0.04%
14011,14012,012824,富国安利90天滚动持有债券C,2025-07-18,1.1137,1.1137,0.0,0.04,0.17,0.55,1.05,2.16,5.5,8.42,1.03,11.37,2.1368,0.00%
14012,14013,013972,长江致惠30天滚动持有短债发起A,2025-07-18,1.0901,1.0901,0.0,0.03,0.14,0.41,1.06,2.16,5.17,7.87,1.11,9.01,2.098,0.03%
14013,14014,970165,招商资管增益添彩一个月持有期中短债债券A,2025-07-18,1.0732,1.0732,0.0,0.04,0.19,0.51,0.65,2.16,5.04,7.0,0.57,7.32,2.0249,0.03%
14014,14015,015815,浦银稳鑫120天滚动持有中短债A,2025-07-18,1.1017,1.1017,0.0,0.05,0.16,0.47,0.8,2.16,5.42,9.73,0.78,10.17,2.1322,0.04%
14015,14016,015832,永赢宏泰短债A,2025-07-18,1.0125,1.0864,0.0,0.05,0.16,0.5,0.88,2.16,5.71,,0.87,8.94,2.107,0.01%
14016,14017,018748,富国安恒60天持有期债券发起式A,2025-07-18,1.0604,1.0604,0.01,0.05,0.19,0.59,1.05,2.16,,,1.04,6.04,2.1186,0.04%
14017,14018,020083,易方达投资级信用债债券D,2025-07-18,1.1558,1.2268,0.0,0.08,0.22,0.74,1.0,2.16,,,0.9,6.53,2.0992,0.08%
14018,14019,020040,易方达安嘉30天持有债券A,2025-07-18,1.0362,1.0362,0.01,0.04,0.27,0.61,1.18,2.16,,,1.21,3.62,2.1289,0.02%
14019,14020,019399,国投瑞银恒睿添利债券C,2025-07-18,1.0485,1.0485,0.02,0.07,0.22,0.58,1.07,2.16,,,1.04,4.85,2.1134,0.00%
14020,14021,021785,国泰润利纯债债券C,2025-07-18,1.0206,1.0368,0.0,0.03,0.2,0.62,1.26,2.16,,,1.29,2.27,2.0785,0.00%
14021,14022,006456,鹏华中短债3个月定开债券C,2025-07-18,1.1668,1.2061,0.0,0.03,0.1,0.35,0.4,2.15,5.07,7.47,0.23,20.69,,0.00%
14022,14023,007026,建信中债1-3年国开债A,2025-07-18,1.0361,1.2031,0.01,0.07,0.07,0.38,0.6,2.15,5.42,8.66,0.38,21.52,2.013,0.05%
14023,14024,008582,兴银聚丰债券A,2025-07-18,1.0295,1.1225,0.0,0.02,0.18,0.57,0.98,2.15,4.55,6.58,0.97,12.82,2.1228,0.04%
14024,14025,008106,博时富瑞纯债债券C,2025-07-18,1.0792,1.2179,-0.01,0.06,0.21,0.74,1.03,2.15,5.75,7.98,0.94,20.46,2.0608,0.00%
14025,14026,002015,南方荣光A,2025-07-18,1.6118,1.6118,0.01,0.18,0.29,0.89,1.68,2.15,5.42,6.6,1.42,61.18,2.2651,0.15%
14026,14027,010408,安信浩盈6个月持有混合A,2025-07-18,1.1492,1.1492,0.08,0.35,0.34,1.28,1.01,2.15,7.25,7.86,0.84,14.92,2.2875,0.10%
14027,14028,012392,兴银稳安60天滚动持有债券A,2025-07-18,1.1473,1.1473,0.0,0.04,0.19,0.67,1.15,2.15,6.25,9.55,1.14,14.73,2.1002,0.03%
14028,14029,013076,建信鑫悦90天滚动中短债C,2025-07-18,1.1255,1.1255,0.01,0.06,0.19,0.64,0.99,2.15,5.43,8.51,0.91,12.55,2.0769,0.00%
14029,14030,012909,平安盈盛稳健配置三个月持有债券(FOF)A,2025-07-17,1.0444,1.0444,0.01,0.02,0.23,0.67,1.17,2.15,2.87,3.84,1.06,4.44,,0.03%
14030,14031,012300,浦银安盛安裕回报一年持有混合C,2025-07-18,0.933,0.933,0.05,0.69,1.18,2.16,1.56,2.15,-1.1,-5.6,1.82,-6.7,2.4824,0.00%
14031,14032,008746,财通多利债券A,2025-07-18,1.1517,1.1517,0.01,0.06,0.18,0.67,1.24,2.15,5.31,9.04,1.19,15.17,2.1011,0.08%
14032,14033,013864,平安元泓30天滚动持有短债A,2025-07-18,1.1157,1.1157,0.0,0.03,0.19,0.52,1.06,2.15,5.55,9.11,1.07,11.57,2.1142,0.06%
14033,14034,014098,鹏扬利鑫60天滚动持有债券C,2025-07-18,1.1107,1.1107,0.01,0.05,0.2,0.58,1.0,2.15,5.5,9.31,0.95,11.07,2.1052,0.00%
14034,14035,015427,东吴月月享30天持有短债C,2025-07-18,1.0884,1.0884,0.01,0.04,0.18,0.66,1.14,2.15,6.64,8.38,1.2,8.84,2.1205,0.00%
14035,14036,013700,永赢安盈90天滚动持有债券发起C,2025-07-18,1.1089,1.1089,0.0,0.05,0.15,0.45,0.87,2.15,5.58,8.47,0.84,10.88,2.1181,0.00%
14036,14037,012563,景顺长城90天持有短债A,2025-07-18,1.0869,1.0869,0.02,0.06,0.22,0.61,1.13,2.15,5.83,,1.14,8.69,2.1139,0.04%
14037,14038,013974,国投瑞银恒誉90天持有期中短债A,2025-07-18,1.1067,1.1067,0.0,0.04,0.19,0.61,1.08,2.15,5.11,8.67,1.05,10.67,2.1224,0.03%
14038,14039,017009,诺德中短债债券C,2025-07-18,1.0922,1.0922,0.01,0.07,0.24,0.72,1.1,2.15,6.41,,1.1,9.22,2.0938,0.00%
14039,14040,017153,汇添富鑫悦纯债C,2025-07-18,1.0172,1.0782,0.0,0.02,-0.01,0.24,0.38,2.15,5.56,,0.23,7.97,2.0489,0.00%
14040,14041,018904,建信中债1-3年政金债指数C,2025-07-18,1.0194,1.0494,0.0,0.03,0.0,0.35,0.5,2.15,,,0.28,4.96,2.0292,0.00%
14041,14042,019425,财通资管双鑫一年持有期债券C,2025-07-18,1.0499,1.0499,-0.03,0.48,1.12,1.94,1.61,2.15,,,1.23,4.99,2.18,0.00%
14042,14043,020786,安信长鑫增强债券C,2025-07-18,1.0247,1.0247,0.07,0.1,0.4,0.73,0.83,2.15,,,0.63,2.47,2.1635,0.00%
14043,14044,021371,华宝1-3年国开债指数C,2025-07-18,1.064,1.064,-0.01,0.04,0.05,0.47,0.61,2.15,,,0.43,3.11,2.0232,0.00%
14044,14045,000128,大成景安短融债券A,2025-07-18,1.3152,1.5192,0.0,0.04,0.16,0.51,1.0,2.14,5.36,7.41,1.01,55.04,2.1039,0.00%
14045,14046,005958,华夏聚丰混合(FOF)C,2025-07-16,1.0383,1.0383,0.07,0.05,0.84,1.02,1.28,2.14,-8.23,-24.88,1.17,3.83,,0.00%
14046,14047,007166,华夏中债1-3年政金债指数C,2025-07-18,1.0752,1.1946,-0.01,0.07,0.02,0.5,0.56,2.14,5.45,9.32,0.26,20.87,2.0288,0.00%
14047,14048,007981,红塔红土瑞祥纯债A,2025-07-18,1.1324,1.1574,0.01,0.06,0.11,0.47,0.56,2.14,5.42,9.24,0.46,15.89,2.0732,0.05%
14048,14049,007456,汇添富90天短债A,2025-07-18,1.1845,1.1905,0.01,0.04,0.18,0.53,1.0,2.14,5.04,7.44,1.0,19.05,2.1044,0.04%
14049,14050,008694,平安元盛超短债A,2025-07-18,1.1394,1.1394,0.01,0.04,0.13,0.41,0.89,2.14,4.38,6.41,0.87,13.94,2.0876,0.04%
14050,14051,009356,博时季季乐持有期债券A,2025-07-18,1.1255,1.1565,0.01,0.04,0.2,0.58,0.95,2.14,5.16,7.68,0.93,15.97,2.0677,0.03%
14051,14052,010167,中银多策略混合C,2025-07-18,1.387,1.387,0.07,0.07,0.51,1.17,1.02,2.14,5.72,1.54,0.65,4.36,2.1355,0.00%
14052,14053,011986,申万菱信合利纯债债券C,2025-07-18,1.0309,1.2649,0.0,0.05,0.2,0.73,1.22,2.14,5.0,7.21,1.18,27.64,2.1097,0.00%
14053,14054,070021,嘉实主题新动力混合,2025-07-18,2.053,2.053,-0.34,3.17,9.84,17.85,8.17,2.14,-22.56,-48.74,5.99,105.3,-0.0487,0.15%
14054,14055,013754,招商稳福短债14天滚动持有债C,2025-07-18,1.0917,1.0917,0.01,0.04,0.14,0.47,0.97,2.14,4.76,7.5,0.96,9.17,2.1235,0.00%
14055,14056,013663,富国安福30天滚动持有短债发起A,2025-07-18,1.1152,1.1152,0.01,0.04,0.18,0.58,1.02,2.14,5.5,8.48,1.03,11.52,2.0965,0.04%
14056,14057,013752,中信建投稳益90天滚动持有中短债C,2025-07-18,1.119,1.119,0.01,0.08,0.19,0.63,0.94,2.14,6.32,9.1,0.88,11.9,2.0892,0.00%
14057,14058,013827,华泰柏瑞鸿益30天滚动持有短债A,2025-07-18,1.0962,1.0962,0.01,0.02,0.15,0.46,1.2,2.14,5.14,8.15,1.18,9.62,2.0956,0.02%
14058,14059,013492,景顺长城30天滚动持有短债A,2025-07-18,1.094,1.094,0.01,0.05,0.17,0.54,1.1,2.14,5.13,8.76,1.11,9.4,2.0808,0.04%
14059,14060,014281,农银金鸿短债债券C,2025-07-18,1.0824,1.0824,0.0,0.04,0.17,0.53,0.88,2.14,5.26,7.93,0.88,8.24,2.0939,0.00%
14060,14061,015943,上银慧享利30天滚动持有中短债发起C,2025-07-18,1.1,1.1,0.01,0.08,0.2,0.54,1.06,2.14,5.61,9.49,1.08,10.0,2.0882,0.00%
14061,14062,015918,兴业30天滚动持有中短债C,2025-07-18,1.0858,1.0858,0.0,0.04,0.16,0.53,1.09,2.14,4.8,8.36,1.1,8.58,2.1257,0.00%
14062,14063,016405,大成景泽中短债债券C,2025-07-18,1.0465,1.0765,-0.01,0.09,0.16,0.73,0.92,2.14,5.7,,0.79,7.73,2.1014,0.00%
14063,14064,009757,华宝1-3年国开债指数A,2025-07-18,1.0628,1.1418,-0.01,0.04,0.05,0.47,0.62,2.14,4.99,7.79,0.43,14.64,2.0157,0.05%
14064,14065,016838,国新国证鑫颐中短债A,2025-07-18,1.0476,1.0476,0.0,0.03,0.18,0.58,0.36,2.14,3.3,,0.18,4.75,2.0456,0.04%
14065,14066,017006,永赢月月享30天持有期短债A,2025-07-18,1.0674,1.0684,0.01,0.05,0.16,0.49,0.82,2.14,5.8,,0.85,6.84,2.0928,0.04%
14066,14067,019653,银华信用四季红债券D,2025-07-18,1.0825,1.1495,0.02,0.09,0.25,0.83,0.85,2.14,,,0.8,5.49,2.0508,0.09%
14067,14068,019465,银华月月享30天持有期债券C,2025-07-18,1.048,1.048,0.0,0.05,0.22,0.52,0.85,2.14,,,0.75,4.8,2.1243,0.00%
14068,14069,019112,恒越短债债券D,2025-07-18,1.1129,1.1129,0.02,0.06,0.26,0.74,1.04,2.14,,,1.05,4.87,2.1103,0.03%
14069,14070,020675,招商中债0-3年政策性金融债C,2025-07-18,1.0354,1.0354,0.0,0.06,0.07,0.41,0.19,2.14,,,-0.04,3.53,1.9496,0.00%
14070,14071,019802,富国短债债券型D,2025-07-18,1.1718,1.2036,0.01,0.05,0.21,0.61,1.03,2.14,,,0.98,4.52,2.1073,0.04%
14071,14072,006581,建信优享稳健养老目标一年持有期混合(FOF)A,2025-07-16,1.0428,1.1895,0.08,0.35,1.78,3.59,2.32,2.13,-0.39,-2.51,1.72,18.87,,0.08%
14072,14073,005514,南华瑞恒中短债债券C,2025-07-18,1.0692,1.5292,0.01,0.09,0.19,0.56,0.81,2.13,5.55,7.34,0.78,56.17,2.0911,0.00%
14073,14074,006829,鹏扬利沣短债A,2025-07-18,1.076,1.186,0.01,0.04,0.17,0.44,1.14,2.13,5.4,8.9,1.16,18.73,2.0994,0.04%
14074,14075,007458,汇添富90天短债C,2025-07-18,1.184,1.19,0.01,0.05,0.18,0.53,1.0,2.13,5.02,7.41,1.0,19.0,2.1053,0.00%
14075,14076,007200,永赢泰利债券C,2025-07-18,1.2251,1.3191,0.0,0.08,0.13,0.47,0.75,2.13,6.95,8.51,0.66,32.81,2.0321,0.00%
14076,14077,008775,招商鑫福中短债C,2025-07-18,1.1629,1.1629,0.01,0.04,0.16,0.46,0.84,2.13,4.94,7.59,0.81,16.29,2.0804,0.00%
14077,14078,012487,博时恒玺一年持有期混合A,2025-07-18,0.9687,0.9687,-0.1,0.0,0.54,1.65,2.43,2.13,-3.79,-4.38,1.94,-3.13,2.4971,0.10%
14078,14079,014073,汇安裕同纯债债券C,2025-07-18,1.0602,1.1147,0.0,0.06,0.03,0.29,0.09,2.13,6.74,11.29,-0.14,11.57,1.9848,0.00%
14079,14080,013672,国联安恒悦90天持有债券A,2025-07-18,1.1089,1.1089,0.01,0.05,0.17,0.61,0.87,2.13,5.78,9.48,0.85,10.89,2.0899,0.04%
14080,14081,016024,工银稳健丰瑞90天持有短债A,2025-07-18,1.0746,1.0746,0.01,0.06,0.18,0.58,0.98,2.13,4.79,,0.94,7.46,2.1095,0.02%
14081,14082,018477,富国安瑞30天持有期债券发起式A,2025-07-18,1.0569,1.0569,0.0,0.07,0.2,0.65,1.09,2.13,,,1.01,5.68,2.0962,0.04%
14082,14083,000141,富国国有企业债债券C,2025-07-18,1.0054,1.4489,0.01,0.04,0.17,0.54,0.99,2.12,5.13,7.8,0.98,55.88,2.0896,0.00%
14083,14084,001927,华夏消费升级灵活配置混合A,2025-07-18,2.073,2.073,0.53,0.58,2.93,1.42,-0.81,2.12,-13.15,-17.01,-1.85,107.3,2.7764,0.15%
14084,14085,002519,博时裕景纯债债券B,2025-07-18,1.1382,1.3426,0.01,0.03,0.16,0.42,0.62,2.12,5.72,13.37,0.6,38.97,2.0624,0.08%
14085,14086,003674,融通通玺债券,2025-07-18,1.0175,1.2821,0.0,0.06,0.11,0.44,0.7,2.12,5.25,7.77,0.58,31.52,2.0572,0.08%
14086,14087,007226,海富通中短债债券C,2025-07-18,1.1214,1.1214,0.01,0.04,0.22,0.59,1.07,2.12,5.04,7.16,1.05,12.14,2.0847,0.00%
14087,14088,008067,圆信永丰丰和A,2025-07-18,1.1005,1.1495,0.01,0.05,0.15,0.51,0.89,2.12,5.42,8.77,0.82,14.96,2.0752,0.04%
14088,14089,013801,财通安裕30天持有期中短债E,2025-07-18,1.1064,1.1064,0.01,0.05,0.19,0.74,1.25,2.12,5.11,8.95,1.25,10.64,2.0853,0.00%
14089,14090,014517,华夏30天滚动短债发起式A,2025-07-18,1.1043,1.1043,0.0,0.04,0.17,0.51,0.94,2.12,4.87,8.69,0.91,10.43,2.0704,0.02%
14090,14091,015517,建信鑫恒120天滚动持有中短债债券C,2025-07-18,1.0996,1.0996,0.01,0.05,0.18,0.59,0.93,2.12,5.0,9.13,0.83,9.96,2.0605,0.00%
14091,14092,016192,永赢安悦60天持有中短债债券C,2025-07-18,1.0837,1.0837,0.0,0.04,0.17,0.54,1.02,2.12,4.99,,1.0,8.37,2.0721,0.00%
14092,14093,014468,平安元和90天滚动持有短债A,2025-07-18,1.0998,1.0998,0.01,0.05,0.26,0.6,1.11,2.12,5.09,9.59,1.09,9.98,2.0696,0.03%
14093,14094,011961,易方达稳鑫30天滚动持有短债A,2025-07-18,1.1306,1.1306,0.01,0.04,0.19,0.56,1.16,2.12,5.98,8.94,1.14,13.06,2.0858,0.02%
14094,14095,000504,中信建投景和中短债C,2025-07-18,1.1279,1.3889,0.0,0.04,0.13,0.36,0.67,2.11,5.44,7.95,0.67,44.56,2.0632,0.00%
14095,14096,002286,中银美元债债券(QDII)人民币A,2025-07-17,1.2235,1.2235,-0.14,-0.65,-0.48,-0.02,1.79,2.11,4.48,8.18,1.84,22.35,,0.08%
14096,14097,002088,国富新机遇混合C,2025-07-18,1.6,1.707,0.06,0.0,0.38,1.39,0.13,2.11,5.96,5.47,0.0,73.31,2.3018,0.00%
14097,14098,000833,易方达富华纯债C,2025-07-18,1.0195,1.1451,0.01,0.07,0.18,0.55,0.9,2.11,6.21,9.13,0.95,15.38,2.0336,0.00%
14098,14099,006852,永赢迅利中高等级短债A,2025-07-18,1.083,1.1889,0.01,0.05,0.15,0.48,0.94,2.11,4.98,7.54,0.96,19.94,2.0639,0.04%
14099,14100,006670,广发景秀纯债A,2025-07-18,1.0852,1.2064,-0.03,0.03,0.09,0.55,-0.36,2.11,5.84,8.73,-0.62,21.63,1.7717,0.08%
14100,14101,008122,南方皓元短债债券A,2025-07-18,1.1367,1.1667,0.01,0.04,0.19,0.55,1.01,2.11,4.85,7.25,0.98,16.87,2.0652,0.04%
14101,14102,011765,兴银高端制造混合A,2025-07-18,0.717,0.717,0.22,2.52,6.66,6.05,0.18,2.11,-16.73,-23.09,1.43,-28.3,3.4781,0.15%
14102,14103,013217,财通资管鸿启90天滚动中短债C,2025-07-18,1.1431,1.1431,0.0,0.05,0.22,0.64,0.92,2.11,5.4,8.41,0.9,14.31,2.0716,0.00%
14103,14104,014298,摩根月月盈30天滚动持有发起式短债债券C,2025-07-18,1.0957,1.0957,0.01,0.05,0.21,0.59,1.17,2.11,5.3,7.6,1.13,9.57,2.0205,0.00%
14104,14105,015082,兴业90天滚动持有中短债C,2025-07-18,1.1013,1.1013,0.01,0.05,0.19,0.59,1.06,2.11,5.1,8.63,1.03,10.13,2.0667,0.00%
14105,14106,017329,永赢季季享90天持有期中短债债券C,2025-07-18,1.0714,1.0714,0.0,0.04,0.17,0.53,0.95,2.11,5.09,,0.94,7.14,2.0575,0.00%
14106,14107,017101,华宝宝通30天持有期短债C,2025-07-18,1.0718,1.0718,0.01,0.04,0.17,0.5,1.04,2.11,4.71,,1.02,7.17,2.0762,0.00%
14107,14108,020234,海富通瑞鑫30天持有期债券A,2025-07-18,1.034,1.034,0.01,0.03,0.23,0.54,0.99,2.11,,,0.98,3.4,2.063,0.03%
14108,14109,021007,长盛嘉鑫30天持有纯债A,2025-07-18,1.0232,1.0232,0.01,0.07,0.24,0.85,0.94,2.11,,,0.96,2.32,2.0648,0.04%
14109,14110,163907,中海惠裕纯债发起式,2025-07-18,0.795,1.532,0.0,0.0,0.24,0.61,0.98,2.1,6.79,10.98,0.85,70.39,1.9704,0.06%
14110,14111,000322,农银汇理金汇债券A,2025-07-18,1.14,1.14,0.0,0.04,0.12,0.36,0.82,2.1,4.98,7.44,0.76,14.0,2.0682,0.08%
14111,14112,003277,中信保诚稳瑞债券A,2025-07-18,1.097,1.2697,0.01,0.05,0.08,0.38,0.7,2.1,5.06,7.35,0.59,29.78,2.0275,0.08%
14112,14113,002301,兴业短债债券A,2025-07-18,1.0366,1.2946,0.01,0.05,0.18,0.55,1.04,2.1,4.85,7.54,1.01,32.38,2.0663,0.04%
14113,14114,002172,海富通新内需混合C,2025-07-18,1.1978,1.5938,0.79,0.27,4.59,5.92,7.65,2.1,-17.11,-18.59,6.26,16.03,2.6392,0.15%
14114,14115,519720,交银纯债债券发起C,2025-07-18,1.0804,1.4614,0.0,0.06,0.18,0.61,0.86,2.1,5.89,7.94,0.85,54.26,2.0396,0.00%
14115,14116,519785,交银境尚收益债券C,2025-07-18,1.085,1.2414,0.0,0.06,0.18,0.58,0.65,2.1,4.9,7.07,0.55,26.17,2.012,0.00%
14116,14117,004907,长安泓沣中短债债券A,2025-07-18,1.1464,1.3919,0.01,0.06,0.22,0.74,1.27,2.1,6.51,10.95,1.28,40.58,2.0428,0.04%
14117,14118,006948,华宝中短债债券C,2025-07-18,1.1721,1.1921,0.0,0.06,0.21,0.7,1.04,2.1,4.59,7.47,0.98,19.49,2.0549,0.00%
14118,14119,007395,东兴兴财短债债券C,2025-07-18,1.0931,1.0931,-0.02,0.0,0.05,0.33,0.23,2.1,4.78,5.46,0.09,9.31,2.0444,0.00%
14119,14120,009637,招商信用添利债券(LOF)C,2025-07-18,1.0501,1.1973,0.0,0.08,0.14,0.46,0.47,2.1,4.93,7.62,0.42,18.47,2.0388,0.00%
14120,14121,007926,万家家享中短债C,2025-07-18,1.0443,1.2471,0.01,0.06,0.18,0.61,1.06,2.1,5.32,8.53,0.99,15.59,2.0486,0.00%
14121,14122,012393,兴银稳安60天滚动持有债券C,2025-07-18,1.1448,1.1448,0.01,0.05,0.19,0.66,1.13,2.1,6.15,9.38,1.11,14.48,2.0594,0.00%
14122,14123,013203,恒生前海恒祥纯债债券C,2025-07-18,1.099,1.134,0.0,0.05,0.08,0.47,1.24,2.1,5.94,8.89,1.11,13.71,2.0711,0.00%
14123,14124,015312,国金及第中短债债券B,2025-07-18,1.0474,1.1446,0.0,0.07,0.19,0.61,0.69,2.1,5.85,8.44,0.64,10.17,2.0231,0.00%
14124,14125,233013,大摩多元收益债券C,2025-07-18,1.2187,1.9444,-0.02,0.28,1.1,2.89,1.07,2.1,2.52,0.16,1.47,95.56,2.3516,0.00%
14125,14126,016408,中泰稳固30天持有中短债C,2025-07-18,1.0795,1.0795,0.01,0.06,0.2,0.57,0.96,2.1,5.55,,0.93,7.95,2.0418,0.00%
14126,14127,017709,长盛盛启债券C,2025-07-18,1.0369,1.0887,0.01,0.05,0.17,0.58,0.9,2.1,8.25,,0.97,9.06,2.0297,0.00%
14127,14128,017621,易方达富惠纯债债券C,2025-07-18,1.0223,1.1095,0.0,0.07,0.21,0.7,1.06,2.1,6.21,,0.98,9.0,2.034,0.00%
14128,14129,017531,财通安益中短债债券E,2025-07-18,1.063,1.063,0.0,0.07,0.19,0.68,1.07,2.1,5.65,,1.02,6.3,2.0447,0.00%
14129,14130,020203,贝莱德安睿30天持有债券C,2025-07-18,1.0385,1.0385,0.0,0.05,0.14,0.84,1.34,2.1,,,1.34,3.85,2.0639,0.00%
14130,14131,021837,南方皓元短债债券D,2025-07-18,1.1365,1.1665,0.0,0.04,0.19,0.55,1.01,2.1,,,0.97,2.18,2.0564,0.05%
14131,14132,002697,中欧消费主题股票C,2025-07-18,1.4843,1.4843,0.71,0.99,3.62,2.27,8.62,2.09,-14.95,-31.76,5.38,48.43,2.9477,0.00%
14132,14133,110053,易方达安源中短债债券A,2025-07-18,1.0243,1.187,0.01,0.07,0.2,0.64,1.02,2.09,5.18,7.92,0.97,19.43,2.0554,0.03%
14133,14134,005755,平安短债C,2025-07-18,1.2573,1.2773,0.01,0.04,0.19,0.6,1.0,2.09,5.35,8.25,0.98,28.19,2.0453,0.00%
14134,14135,007365,易方达中债1-3年政金债C,2025-07-18,1.0015,1.1617,0.01,0.05,0.08,0.48,0.61,2.09,5.17,8.01,0.41,17.39,1.9955,0.00%
14135,14136,015865,中信建投景泰债券A,2025-07-18,1.0114,1.0798,-0.01,0.04,0.01,0.39,0.81,2.09,5.21,7.83,0.79,8.06,2.0194,0.03%
14136,14137,015438,中银荣享债券,2025-07-18,1.0103,1.0833,0.0,-0.01,-0.1,0.45,0.46,2.09,5.67,8.15,0.36,8.38,1.9883,0.08%
14137,14138,015810,国泰君安君添利中短债发起C,2025-07-18,1.0419,1.0939,0.0,0.08,0.17,0.68,0.93,2.09,5.53,9.06,0.86,9.47,2.0371,0.00%
14138,14139,016125,汇泉安盈回报债券C,2025-07-18,1.0371,1.0371,0.03,0.17,0.49,1.69,1.2,2.09,5.91,,1.09,3.71,1.9764,0.00%
14139,14140,018215,景顺长城景颐辰利债券C,2025-07-18,1.048,1.048,0.03,0.14,0.5,1.2,0.48,2.09,4.44,,0.39,4.81,2.4538,0.00%
14140,14141,005993,光大保德信超短债债券C,2025-07-18,1.1003,1.1681,0.01,0.03,0.12,0.37,0.71,2.09,4.5,6.25,0.79,17.6,2.0402,0.00%
14141,14142,020044,东方红中债0-3年政金债指数A,2025-07-18,1.041,1.041,0.0,0.06,0.08,0.5,0.3,2.09,,,0.03,4.1,1.9689,0.50%
14142,14143,021486,华夏聚丰混合(FOF)D,2025-07-16,1.0438,1.0438,0.07,0.06,0.83,1.02,1.25,2.09,,,1.13,2.29,,0.00%
14143,14144,009096,鹏华安泽混合A,2025-07-18,1.194,1.194,-0.24,0.01,0.29,0.23,1.58,2.09,3.49,3.59,1.63,19.4,2.2173,0.08%
14144,14145,020295,易方达中债0-3年政金债指数A,2025-07-18,1.0016,1.0302,0.0,0.07,0.06,0.49,0.83,2.09,,,0.65,3.05,2.0215,0.04%
14145,14146,519519,华泰柏瑞稳本增利债券A,2025-07-18,1.0424,1.7567,0.16,0.47,1.77,3.74,1.38,2.08,3.0,7.55,0.88,103.2,2.1569,0.08%
14146,14147,007582,中泰青月中短债A,2025-07-18,1.1937,1.1937,0.01,0.06,0.21,0.57,0.96,2.08,5.09,7.91,0.97,19.36,2.0344,0.03%
14147,14148,007717,工银尊享短债债券F,2025-07-18,1.1067,1.1697,0.01,0.06,0.18,0.62,0.92,2.08,4.75,7.24,0.84,17.43,2.0376,0.00%
14148,14149,550001,中信保诚四季红混合A,2025-07-18,0.9108,2.8112,0.54,-0.11,2.29,6.29,5.67,2.08,15.7,-0.37,3.84,346.42,3.5235,0.12%
14149,14150,009657,华安中债1-5年国开行债券ETF联接C,2025-07-18,1.1018,1.1638,0.01,0.04,0.03,0.36,0.41,2.08,5.33,8.27,0.2,16.71,1.943,0.00%
14150,14151,011517,嘉实浦盈一年持有期混合C,2025-07-18,1.0491,1.0491,0.1,0.33,1.02,1.7,1.77,2.08,4.27,3.47,1.63,4.91,2.1121,0.00%
14151,14152,011396,博时恒元6个月持有期混合C,2025-07-18,0.8982,0.8982,0.06,0.13,0.3,1.31,-1.02,2.08,-2.64,-10.67,-0.87,-10.18,2.3007,0.00%
14152,14153,012773,嘉实超短债债券A,2025-07-18,1.0535,1.1597,0.01,0.04,0.18,0.48,0.99,2.08,5.11,7.62,0.94,10.81,2.0406,0.03%
14153,14154,012324,兴证全球恒惠30天持有超短债A,2025-07-18,1.1264,1.1264,0.01,0.04,0.17,0.53,0.97,2.08,4.81,8.09,0.97,12.64,2.0567,0.03%
14154,14155,013374,中银证券安业债券C,2025-07-18,1.0898,1.095,0.01,0.04,0.12,0.44,0.63,2.08,6.2,7.2,0.54,9.52,2.0316,0.00%
14155,14156,013065,国泰利泽90天滚动持有中短债A,2025-07-18,1.1298,1.1298,0.01,0.04,0.18,0.52,1.02,2.08,5.27,8.74,1.02,12.98,2.0412,0.035%
14156,14157,014741,财通资管鸿商中短债C,2025-07-18,1.0997,1.0997,0.01,0.07,0.2,0.63,0.96,2.08,5.98,9.31,0.95,9.97,2.0225,0.00%
14157,14158,015863,华泰柏瑞中证同业存单AAA指数7天持有期,2025-07-18,1.0715,1.0715,0.0,0.04,0.15,0.5,0.97,2.08,4.67,6.96,0.92,7.15,2.0379,0.00%
14158,14159,016597,民生加银月月乐30天持有短债C,2025-07-18,1.0712,1.0712,0.01,0.07,0.21,0.64,1.08,2.08,5.16,,1.05,7.12,2.0385,0.00%
14159,14160,009739,嘉合磐泰短债E,2025-07-18,1.1419,1.1419,0.02,0.04,0.21,0.55,1.09,2.08,,,1.09,4.53,2.0465,0.00%
14160,14161,485122,工银尊益中短债C,2025-07-18,1.1763,1.1763,0.0,0.04,0.15,0.54,1.01,2.07,4.76,8.02,0.98,17.63,2.0474,0.00%
14161,14162,202305,南方旺元60天滚动持有中短债A,2025-07-18,1.0966,1.1316,0.0,-0.01,0.18,0.69,0.9,2.07,4.78,7.7,0.89,13.4,2.0297,0.01%
